epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,584.145,0.88317,0.82861,0.96136,0.44249,0.58697,0.52086,0.38148,1.00629,1.52119,1.0521,0.000819831,0.000819831,0.000819831
79,591.453,0.86105,0.81891,0.96328,0.52249,0.57456,0.51666,0.38887,0.98561,1.38754,1.02989,0.000808828,0.000808828,0.000808828
80,598.543,0.85857,0.78075,0.952,0.54502,0.54208,0.53494,0.39639,0.98792,1.39628,1.06181,0.000797826,0.000797826,0.000797826
81,605.849,0.83693,0.79676,0.9505,0.47966,0.56541,0.49979,0.37569,0.99598,1.499,1.05517,0.000786824,0.000786824,0.000786824
82,613.17,0.85245,0.77685,0.95057,0.56533,0.4865,0.52762,0.3946,0.99772,1.48648,1.04934,0.000775822,0.000775822,0.000775822
83,620.56,0.85521,0.77067,0.95563,0.61286,0.48666,0.53153,0.39125,1.01109,1.42463,1.06929,0.00076482,0.00076482,0.00076482
84,628.004,0.8374,0.75836,0.949,0.46003,0.502,0.44761,0.3288,1.04619,1.63037,1.10017,0.000753817,0.000753817,0.000753817
85,635.17,0.86377,0.76112,0.95154,0.44902,0.6221,0.52173,0.38117,1.04558,1.46281,1.08682,0.000742815,0.000742815,0.000742815
86,642.327,0.85264,0.79114,0.95275,0.49324,0.54001,0.50162,0.36737,1.0201,1.64216,1.07399,0.000731813,0.000731813,0.000731813
87,649.434,0.82645,0.75201,0.94477,0.50436,0.52005,0.51054,0.38656,1.00656,1.62754,1.06435,0.000720811,0.000720811,0.000720811
